Upside,,Chg. %,P/E Ratio,Column 2,Column 5,EV/EBIDTA,Profitability Rating,Low,Growth Rating,Fair Value,Column 8,Cash Flow Rating,Column 4,Chg.,Column 3,Analyst Ratings,Time,Column 1,Market Cap,EPS Growth (5y),Column 7,Column 6,Month,Name,High,Last,Financial Health,Price
,,+0.20%,,,,,,,,,,,,+0.008,,,,,,,,,,U.S. 1Y,,4.069,,
,,+0.23%,,,,,,,,,,,,+0.010,,,,,,,,,,U.S. 3M,,4.317,,
,,+0.56%,,,,,,,,,,,,+3.21,,,,,,,,,,SPDR S&P 500,,575.92,,
,,+0.74%,,,,,,,,,,,,+3.59,,,,,,,,,,Invesco QQQ Trust,,491.79,,
,,-0.32%,,,,,,,,,,,,-0.29,,,,,,,,,,iShares 20+ Year Treasury Bond,,90.11,,
,,+1.02%,,,,,,,,,,,,+0.25,,,,,,,,,,iShares MSCI Brazil Capped,,24.82,,
,,-1.99%,,,,,,,,,,,,-0.70,,,,,,,,,,ProShares UltraPro Short QQQ,,34.47,,
,,+2.07%,,,,,,,,,,,,+1.37,,,,,,,,,,ProShares UltraPro QQQ,,67.41,,
,,-2.86%,,,,,,,,,,,,"-2,427.0",,,,,,,,,,Bitcoin,,"82,419.3",,
,,-1.61%,,,,,,,,,,,,-34.36,,,,,,,,,,Ethereum,,"2,099.89",,
,,-0.09%,,,,,,,,,,,,-0.0009,,,,,,,,,,Tether,,1.0005,,
,,-3.11%,,,,,,,,,,,,-0.0699,,,,,,,,,,XRP,,2.1791,,
,,-2.22%,,,,,,,,,,,,-12.78,,,,,,,,,,BNB,,564.02,,
,,-0.70%,,,,,,,,,,,,-0.030,,,,,,,,,,Polkadot,,4.188,,
